downstream,upstream,gage
6960301,6959049,05466500
18094325,18091649,02479560
23630308,23623840,13340600
21028040,21024822,07148400
6087,2789,01030500
19112974,19107712,07292500
8364342,8365336,06847900
23004327,23004801,12414500
11654354,11652916,06464500
18156767,18152883,02472500
3646108,3640976,06889500
5054201,5055265,07014500
19138465,19137899,07290650
18154273,18150499,02472000
10525953,10525027,02108000
14268912,14278288,05057000
20026253,20024085,07226500
24264761,24265919,12189500
7571985,7570465,07071500
15085613,15085057,08013000
7523291,7520195,07068000
13803636,13801444,05585000
21014035,21009925,07149000
4369874,2966504,06191500
7524427,7518725,07067000
22957045,22958945,12358500
13313347,13309249,05412500
6887560,6892262,03164000
20986743,20984227,07151500
23588128,23589120,13337000
435122,436610,03213700
724684,725476,01013500
2376959,2373091,02371500
13756263,13753873,07301500
7171118,7177344,05131500
21861200,21860264,06353000
5801078,5798316,05495000
2210148,2207780,02363000
2507373,2508699,05514500
23597189,23598657,13338500
3855285,3858051,06043500
8522503,8526893,02018000
6460665,6456735,02350900
22440648,20486528,09497800
18106868,18108234,02479300
3775989,3777045,03069500
21327961,21325889,09447800
19506226,19505408,03604000
11817455,11819201,07056000
2430758,2431488,09430500
17356977,17340931,06784000
23838192,23839720,12041200
18075848,18065344,02481510
20177979,20180577,06450500
